,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Female,Male,France,Germany,Spain,CustomerValue,PurchaseValue,Worth,Affordance,TotalBalance,Balance_,Exited
19,0.752,0.08108108108108109,0.6,0.0,0.3333333333333333,1,1,0.27358837769006933,1,0,1,0,0,0.3,0.36131147540983605,0.0,0.10552147239263804,0.13402476562820825,0.2683323938443286,0
20,0.764,0.3108108108108108,0.8,0.0,0.3333333333333333,1,1,0.8544545504095642,0,1,1,0,0,0.4,0.3652459016393443,0.0,0.06932515337423313,0.4189867853751041,0.8385651899418012,0
21,0.572,0.1891891891891892,0.8,0.0,0.3333333333333333,1,0,0.6927855610210775,1,0,0,0,1,0.4,0.3022950819672131,0.0,0.05460122699386503,0.3396750197563649,0.6798557243352229,0
22,0.32,0.2702702702702703,0.4,0.0,0.0,1,0,0.5945665311037204,1,0,0,0,1,0.1,0.05245901639344262,0.0,0.11349693251533742,0.2914906109246479,0.5834346988216536,1
23,0.638,0.3783783783783784,0.3,0.0,0.3333333333333333,0,1,0.04238489775773586,0,1,1,0,0,0.15,0.3239344262295082,0.0,0.23067484662576687,0.02060068671245306,0.04136134092170131,0
24,0.992,0.2702702702702703,0.5,0.0,0.0,1,1,0.9381124897427704,1,0,1,0,0,0.125,0.16262295081967212,0.0,0.16466257668711656,0.46002779702266294,0.9206916812098059,0
25,0.454,0.0945945945945946,0.3,0.0,0.3333333333333333,0,1,0.6225430028567727,0,1,1,0,0,0.15,0.2636065573770492,0.0,0.19304703476482618,0.30521534180167154,0.6108990313339014,0
26,0.812,0.24324324324324326,0.2,0.5453036330408095,0.0,1,1,0.850233047256013,0,1,0,1,0,0.05,0.13311475409836065,0.3721847084968277,0.4208588957055215,0.7525437469725184,0.16280140943477353,0
27,0.442,0.35135135135135137,0.9,0.0,0.3333333333333333,0,0,0.19212719814742305,0,1,1,0,0,0.45,0.259672131147541,0.0,0.03490115882753919,0.09406144301853216,0.18836244832912744,0
28,0.448,0.33783783783783783,0.3,0.5633738782148561,0.0,1,1,0.5009270885369552,1,0,0,1,0,0.075,0.07344262295081967,0.3219221697485957,0.1918200408997955,0.5923028358448338,0.20175722324521772,0
29,0.122,0.14864864864864866,0.0,0.23793393564693935,0.3333333333333333,1,1,0.267383685141931,0,1,1,0,0,0.0,0.15475409836065573,0.20159558923871376,0.46134969325153374,0.2774263899701105,0.030199445751394768,0
30,0.482,0.28378378378378377,0.3,0.0,0.6666666666666666,1,0,0.702356075005163,1,0,0,0,1,0.225,0.4665573770491803,0.0,0.19877300613496932,0.34437013392036,0.689251039823616,1
31,0.366,0.24324324324324326,0.7,0.34002530668926173,0.0,0,1,0.7836764911049006,0,1,1,0,0,0.175,0.06,0.23207661197118112,0.05048203330411919,0.5935459646603561,0.35029291390315936,0
32,0.406,0.3108108108108108,0.9,0.43887356814872525,0.3333333333333333,0,0,0.4094752548868416,0,1,0,1,0,0.45,0.24786885245901638,0.263013599133954,0.03244717109747784,0.47080981446458814,0.13819496271243983,0
33,0.34,0.32432432432432434,0.6,0.0,0.3333333333333333,1,1,0.17201127707696084,1,0,0,0,1,0.3,0.2262295081967213,0.0,0.06339468302658487,0.08419295046977392,0.16861477071109363,0
34,0.744,0.14864864864864866,0.9,0.0,0.3333333333333333,1,1,0.7101752717384511,1,0,0,0,1,0.45,0.3586885245901639,0.0,0.055487389229720525,0.3482060847788585,0.6969270977968046,0
35,0.25,0.36486486486486486,0.0,0.5351337668612782,0.0,1,0,0.13907033121663118,1,0,1,0,0,0.0,0.040983606557377046,0.29219479637858015,0.5398773006134969,0.3974012609827702,0.522208062116529,1
36,0.28,0.17567567567567569,0.3,0.5789610833625717,0.0,0,1,0.5703304165547809,0,1,0,0,1,0.075,0.04590163934426229,0.45889181753573455,0.15746421267893662,0.6359445441155324,0.1528222738958902,0
37,0.908,0.20270270270270271,0.7,0.30509837679513624,0.0,0,1,0.492256360482426,0,1,0,0,1,0.175,0.14885245901639343,0.22716875226604422,0.09798422436459246,0.42908361621719987,0.10722505907048363,0
38,1.0,0.24324324324324326,0.7,0.0,0.0,1,1,0.20402608449106888,0,1,1,0,0,0.175,0.16393442622950818,0.0,0.10604732690622261,0.09989881287146984,0.20004351283046792,0
39,0.464,0.3108108108108108,0.6,0.28039065582364536,0.3333333333333333,0,1,0.8903973329452963,0,1,0,1,0,0.3,0.26688524590163937,0.16803599237654598,0.07607361963190185,0.6091967785951151,0.5285087337133082,0
40,0.244,0.2972972972972973,0.4,0.0,0.0,1,0,0.3507466963094975,0,1,0,0,1,0.1,0.04,0.0,0.10184049079754601,0.17187718559463064,0.3440782469081174,0
41,0.23,0.44594594594594594,0.8,0.4883350048619342,0.0,0,0,0.9065169223660859,1,0,1,0,0,0.2,0.03770491803278689,0.23527203874827918,0.028374233128834355,0.7450920391232693,0.28821997620833884,1
42,0.412,0.581081081081081,0.2,0.4679961892097306,0.0,1,1,0.47075620721778927,1,0,1,0,0,0.05,0.06754098360655737,0.18851031414519512,0.298159509202454,0.5187977267632546,0.11390450435847467,0
43,0.968,0.4189189189189189,0.2,0.5236969320890406,0.0,0,0,0.9718637129845901,1,0,1,0,0,0.05,0.15868852459016394,0.262607173407726,0.4687116564417178,0.7989147945404286,0.30881724380483383,1
44,0.62,0.581081081081081,0.5,0.6214918176539327,0.0,1,1,0.7917096582723651,1,0,0,0,1,0.125,0.10163934426229508,0.2503388285756051,0.11901840490797547,0.7707262016327219,0.01151268791232336,0
45,0.852,0.1891891891891892,0.4,0.43611782776026714,0.3333333333333333,1,1,0.6325898123270772,1,0,0,1,0,0.2,0.3940983606557377,0.3348701968137482,0.1950920245398773,0.5785694944455755,0.08362033032934119,0
46,0.958,0.12162162162162163,0.9,0.44657840958454487,0.0,1,1,0.5985403105996622,1,0,0,1,0,0.225,0.15704918032786885,0.4064027088061155,0.07007498295841855,0.5683038139609095,0.03731043581899236,1
47,0.574,0.28378378378378377,0.9,0.5494015518412276,0.0,1,1,0.5881122647212809,1,0,0,1,0,0.225,0.0940983606557377,0.3461369082866325,0.04389911383776414,0.6264744415413983,0.09895914305250451,1
48,0.4,0.2702702702702703,0.2,0.41208516174834176,0.0,0,1,0.45437614292164896,0,1,0,1,0,0.05,0.06557377049180328,0.26645631391069696,0.294478527607362,0.4763493976240552,0.06112227267356449,0
49,0.852,0.25675675675675674,0.2,0.41359111183349384,0.3333333333333333,1,0,0.9705303856518297,1,0,0,1,0,0.1,0.3940983606557377,0.2746579084164517,0.4331288343558282,0.7304918560895698,0.44311941832221025,0
50,0.696,0.35135135135135137,1.0,0.4637873887361996,0.3333333333333333,1,0,0.9903324767515297,0,1,0,1,0,0.5,0.34295081967213115,0.25899351757287564,0.04269938650306748,0.7711016056833176,0.4007351037158063,0
51,0.47,0.24324324324324326,0.5,0.5821127215436355,0.3333333333333333,0,0,0.4321062161436417,0,1,0,1,0,0.25,0.26885245901639343,0.3973079225089246,0.10061349693251534,0.5700741471449446,0.29239782645950224,0
52,0.876,0.20270270270270271,0.5,0.0,0.3333333333333333,0,0,0.584888906890608,1,0,1,0,0,0.25,0.4019672131147541,0.0,0.15042944785276072,0.28674295049675846,0.5739342338715477,0
53,0.61,0.3108108108108108,0.8,0.5004500831393336,0.0,0,0,0.8202251315000583,0,1,0,1,0,0.2,0.1,0.299915937313312,0.057515337423312884,0.7102155971735704,0.18858639410145883,1
54,0.502,0.32432432432432434,0.1,0.39257261783061004,0.0,1,0,0.2000350033428192,0,1,0,1,0,0.025,0.08229508196721312,0.22966422449771612,0.694478527607362,0.3395646775084672,0.28677493199524834,1
55,0.538,0.33783783783783783,0.1,0.4990548951568344,0.0,1,1,0.5670487031511509,0,1,1,0,0,0.025,0.0881967213114754,0.2851691228241075,0.7165644171779141,0.5851532812786788,0.057627992102303426,0
56,0.612,0.36486486486486486,0.5,0.5096268369360644,0.0,1,0,0.43552154230729034,0,1,1,0,0,0.125,0.10032786885245902,0.2782674521194902,0.11803680981595091,0.5271354352722022,0.19976826865127842,0
57,0.75,0.013513513513513514,0.0,0.3024662324053563,0.0,0,0,0.22803262711588954,0,1,0,1,0,0.0,0.12295081967213115,0.3911523386440485,0.8466257668711656,0.29784036817906195,0.14831091036607277,0
58,0.322,0.6486486486486487,0.4,0.0,0.0,1,0,0.008158429129981912,1,0,0,0,1,0.1,0.05278688524590164,0.0,0.11380368098159509,0.0038098249149655736,0.007761424412926556,1
59,0.528,0.44594594594594594,0.4,0.16216113881137956,0.0,1,1,0.2338408317994368,0,1,1,0,0,0.1,0.08655737704918033,0.07812665763062099,0.14539877300613496,0.21433363462801733,0.029587792019862752,0
60,0.784,0.22972972972972974,0.5,0.5454684808481404,0.0,0,0,0.42253030164380695,0,1,0,1,0,0.125,0.12852459016393442,0.38293428512935096,0.13914110429447854,0.5428222858370549,0.2566658107114313,0
61,0.674,0.12162162162162163,0.9,0.607134474399546,0.3333333333333333,0,0,0.6324766015154447,1,0,0,1,0,0.45,0.3357377049180328,0.5525146082075436,0.05071574642126789,0.6837726833905088,0.12651330913848474,0
62,0.41,0.20270270270270271,0.1,0.22353573915209957,0.3333333333333333,0,0,0.8940181287312938,0,1,0,0,1,0.05,0.24918032786885247,0.1664392170271943,0.6380368098159509,0.5759795425766775,0.6020882231473826,0
63,0.668,0.5135135135135135,0.8,0.31370171052318496,0.0,1,1,0.4969813617200442,0,1,0,0,1,0.2,0.10950819672131147,0.13764216503887933,0.06196319018404908,0.4366968633511103,0.10126732591419282,0
64,0.506,0.10810810810810811,0.4,0.4351024354151122,0.0,1,1,0.46418978012400175,0,1,0,1,0,0.1,0.08295081967213115,0.4111883501543913,0.14202453987730063,0.49533064380850217,0.07983735508752317,0
65,0.802,0.24324324324324326,0.6,0.6768941923790651,0.3333333333333333,1,1,0.13874715035285867,1,0,0,1,0,0.3,0.3777049180327869,0.46199887990649785,0.11063394683026585,0.48449458368713755,0.6971236026031706,0
66,0.462,0.21621621621621623,0.1,0.40507697766850276,0.0,1,0,0.5521523805523426,1,0,0,1,0,0.025,0.07573770491803279,0.2927394681024495,0.6699386503067485,0.5200031262819191,0.04288664627853622,0
67,0.77,0.33783783783783783,1.0,0.49095634805350646,0.3333333333333333,1,1,0.9834024149306259,0,1,0,1,0,0.5,0.36721311475409835,0.2805414644321786,0.04723926380368098,0.7844240215613364,0.3604694378573309,0
68,0.622,0.22972972972972974,0.5,0.6007440311721783,0.3333333333333333,0,1,0.5682806207992863,1,0,0,1,0,0.25,0.31868852459016395,0.42173928320285076,0.11926380368098158,0.6483461002110731,0.1816633672873152,0
69,0.65,0.04054054054054054,0.8,0.39208453121345005,0.0,1,0,0.0909657872326807,1,0,1,0,0,0.2,0.10655737704918032,0.4587573646694941,0.06058282208588957,0.28575695984096583,0.3932463708340723,0
70,0.776,0.5405405405405406,0.2,0.5330667921784499,1.0,1,0,0.14182494428217893,0,1,0,1,0,0.2,0.8531147540983607,0.22582721077725323,0.4098159509202454,0.39748042381824505,0.5169580997067253,1
71,0.926,0.14864864864864866,0.6,0.0,0.0,1,0,0.16972765899143366,0,1,1,0,0,0.15,0.15180327868852458,0.0,0.12331288343558282,0.08307265038595993,0.16637295669732122,0
72,0.614,0.25675675675675674,0.0,0.6520861916485693,0.0,0,1,0.22098095368107654,1,0,0,0,1,0.0,0.10065573770491804,0.43303790720132546,0.7631901840490798,0.5095679092754164,0.5858405695586024,0
73,0.508,0.0945945945945946,0.5,0.6288642532113338,0.3333333333333333,1,1,0.2921040459363869,1,0,0,1,0,0.25,0.2813114754098361,0.6180726630096517,0.1052760736196319,0.5301667316012888,0.48741831710495553,0
74,0.338,0.24324324324324326,0.9,0.0,0.3333333333333333,0,1,0.7278236071544832,0,1,1,0,0,0.45,0.22557377049180327,0.0,0.027811860940695293,0.35686402621445285,0.714252361555295,0
75,0.77,0.04054054054054054,0.1,0.7123138721382853,0.3333333333333333,1,0,0.11189278576104016,1,0,1,0,0,0.05,0.36721311475409835,0.8334407730607072,0.8588957055214724,0.4931207324252495,0.7671107799650317,0
76,0.628,0.5,0.8,0.0,0.3333333333333333,1,1,0.6958167504996727,0,1,1,0,0,0.4,0.320655737704918,0.0,0.05889570552147239,0.3411620643057351,0.6828314246480648,0
77,0.656,0.1891891891891892,0.9,0.0,0.0,1,1,0.7410660718098578,1,0,1,0,0,0.225,0.10754098360655738,0.0,0.04948875255623721,0.36336053031789417,0.7272524087301937,0
78,0.814,0.20270270270270271,0.5,0.30790676804275396,0.0,0,1,0.9712330027517627,0,1,0,0,1,0.125,0.13344262295081968,0.22925981136081142,0.14282208588957057,0.6657890802779839,0.5739745853456504,0
79,0.132,0.3108108108108108,1.0,0.4870091278893355,0.3333333333333333,1,0,0.4914970879719013,1,0,0,1,0,0.5,0.1580327868852459,0.291860874824558,0.008098159509202455,0.540675052186879,0.11696046581506077,0
80,0.63,0.21621621621621623,0.1,0.38519838871631107,0.3333333333333333,0,0,0.8570922523100956,1,0,1,0,0,0.05,0.32131147540983607,0.27837368609729674,0.7730061349693251,0.6573658553003456,0.3667275980470869,0
81,0.854,0.1891891891891892,0.2,0.0,0.0,1,0,0.6822982094790052,1,0,1,0,0,0.05,0.14,0.0,0.43374233128834355,0.334530122329763,0.6695603549810484,1
82,0.386,0.24324324324324326,0.3,0.0,0.3333333333333333,0,0,0.13005247001088602,1,0,1,0,0,0.15,0.24131147540983608,0.0,0.17914110429447852,0.0636087488597191,0.127424064490099,0
83,0.312,0.21621621621621623,0.4,0.35993745508385494,0.0,1,1,0.7961945865830187,1,0,1,0,0,0.1,0.051147540983606556,0.26011821199482105,0.11226993865030675,0.611942799245944,0.3380571884457531,0
84,0.286,0.3783783783783784,0.4,0.0,0.3333333333333333,1,0,0.009481305464671876,1,0,1,0,0,0.2,0.20852459016393443,0.0,0.10828220858895705,0.004458803164884535,0.009060084081279656,0
85,0.604,0.7702702702702703,1.0,0.0,0.3333333333333333,1,1,0.5733756073705039,1,0,0,0,1,0.5,0.31278688524590165,0.0,0.03705521472392639,0.28109474228756015,0.5626316976144965,0
86,0.8,0.05405405405405406,0.3,0.4849850391447779,0.0,1,0,0.6432202775365047,0,1,0,0,1,0.075,0.13114754098360656,0.5416619093529088,0.26380368098159507,0.6138617927283919,0.033869220872433235,1
87,0.758,0.16216216216216217,0.9,0.0,0.3333333333333333,1,0,0.7593613690107406,0,1,1,0,0,0.45,0.36327868852459017,0.0,0.05644171779141104,0.3723358590374594,0.7452127909460325,0
88,0.592,0.3783783783783784,0.4,0.0,0.6666666666666666,1,0,0.46624372627585925,1,0,1,0,0,0.3,0.520655737704918,0.0,0.15521472392638036,0.228537856295928,0.45746098019817677,1
89,0.57,0.13513513513513514,0.3,0.32532599191966743,0.3333333333333333,1,1,0.7839737694949866,1,0,0,1,0,0.15,0.3016393442622951,0.2854850475412662,0.2167689161554192,0.5846445490561567,0.36868906258567624,0
90,0.594,0.35135135135135137,0.5,0.0,0.6666666666666666,1,1,0.8710513854073063,1,0,0,0,1,0.375,0.5216393442622951,0.0,0.11582822085889571,0.4271288804814867,0.8548582021219083,1
91,0.916,0.36486486486486486,0.7,0.4728077045146099,0.3333333333333333,1,0,0.7356746569297368,0,1,1,0,0,0.35,0.41508196721311474,0.2581633967095245,0.09868536371603856,0.6517231666566824,0.1396292563503132,0
92,0.348,0.24324324324324326,1.0,0.0,0.3333333333333333,1,0,0.5480672904262357,1,0,1,0,0,0.5,0.22885245901639345,0.0,0.02134969325153374,0.26867895797863994,0.5377866764832345,0
93,0.838,0.14864864864864866,0.8,0.0,0.3333333333333333,1,1,0.8614774210937144,0,1,1,0,0,0.4,0.3895081967213115,0.0,0.075,0.4224320736507275,0.8454594994659811,0
94,0.76,0.32432432432432434,0.4,0.0,0.3333333333333333,0,1,0.42989550502072943,0,1,0,0,1,0.2,0.3639344262295082,0.0,0.18098159509202455,0.2107061025641252,0.4217781520134281,0
95,0.33,0.22972972972972974,1.0,0.7025719087777831,0.0,0,1,0.6063889101409183,0,1,0,0,1,0.25,0.054098360655737705,0.49322533030957105,0.020245398773006136,0.7297151673588692,0.2696683123555576,0
96,0.846,0.3108108108108108,0.9,0.4098374762438407,0.0,0,1,0.32294919164780234,0,1,0,0,1,0.225,0.13868852459016393,0.24561248958684187,0.06244035446489434,0.4104903832241711,0.18737496626945666,0
97,0.928,0.14864864864864866,0.8,0.38695551648081494,0.3333333333333333,1,1,0.9864169528189942,0,1,0,1,0,0.4,0.4190163934426229,0.3278579204854344,0.08190184049079755,0.7218916125123694,0.4915207169720608,0
98,0.72,0.05405405405405406,0.8,0.0,0.3333333333333333,0,0,0.49821487952099414,0,1,0,0,1,0.4,0.35081967213114756,0.0,0.06595092024539877,0.2442223027833476,0.4888468672848362,0
99,0.126,0.21621621621621623,0.9,0.0,0.3333333333333333,0,0,0.03261611483896712,0,1,1,0,0,0.45,0.1560655737704918,0.0,0.013360599863667345,0.01580830553802787,0.031771386023555157,0
100,0.63,0.2972972972972973,0.6,0.0,0.0,1,1,0.8092595342855242,1,0,1,0,0,0.15,0.10327868852459017,0.0,0.09304703476482618,0.3968149604659279,0.7941975169312969,0
101,0.546,0.35135135135135137,0.6,0.0,0.3333333333333333,0,0,0.8358340721538906,1,0,1,0,0,0.3,0.2937704918032787,0.0,0.08445807770961145,0.4098519289458724,0.8202855794582132,0
102,0.776,0.17567567567567569,0.9,0.3295128711422235,0.0,1,0,0.20981573740292195,0,1,1,0,0,0.225,0.12721311475409836,0.261176035290058,0.05766871165644172,0.3055503916953549,0.19950613133776474,0
103,0.356,0.24324324324324326,0.7,0.0,0.3333333333333333,1,0,0.3026538034382283,0,1,0,0,1,0.35,0.23147540983606557,0.0,0.04960560911481157,0.14828371685482497,0.2968657458839901,0
104,0.64,0.6351351351351351,0.1,0.0,0.0,1,1,0.8883053331593166,1,0,0,0,1,0.025,0.10491803278688525,0.0,0.7791411042944786,0.43559334274652306,0.8717962979044281,1
105,0.544,0.3783783783783784,0.4,0.4267600044304841,0.3333333333333333,1,1,0.15487984102481783,1,0,0,0,1,0.2,0.29311475409836063,0.2279546809788001,0.14785276073619633,0.3384543371740188,0.37321014581363526,1
106,0.464,0.1891891891891892,0.1,0.3544810564321155,0.0,1,1,0.050219545966639814,0,1,0,1,0,0.025,0.0760655737704918,0.27218594053765627,0.6711656441717792,0.24262312519370607,0.3869326414610022,0
107,0.87,0.24324324324324326,0.2,0.39779836506527416,0.0,0,1,0.1848423524446584,1,0,0,1,0,0.05,0.14262295081967213,0.2715083112810539,0.4386503067484663,0.3353278344723018,0.30812572164463387,0
108,0.51,0.20270270270270271,0.5,0.5982221706032118,0.0,0,0,0.3592903622295928,0,1,0,0,1,0.125,0.08360655737704918,0.4454215243664406,0.10552147239263804,0.5442672344999437,0.38372180299615094,0
109,0.258,0.22972972972972974,0.9,0.3700063639384421,0.0,1,0,0.4972388863136429,0,1,0,1,0,0.225,0.04229508196721311,0.2597549215818468,0.022358554873892295,0.4714780498653741,0.03217288809981522,1
110,0.67,0.16216216216216217,0.3,0.36085093354038683,0.0,0,1,0.31538661942215473,0,1,0,1,0,0.075,0.10983606557377049,0.2955488092275065,0.23721881390593047,0.37662968852134965,0.1344651512740929,0
111,0.376,0.28378378378378377,0.7,0.43067326658405414,0.3333333333333333,1,0,0.13611139863856994,0,1,0,1,0,0.35,0.2380327868852459,0.27133507810001545,0.05135845749342682,0.3316554590048621,0.396454754829696,0
112,0.424,0.32432432432432434,0.2,0.39951818684630086,0.0,0,0,0.4339705941917453,0,1,1,0,0,0.05,0.06950819672131148,0.23372754590433614,0.301840490797546,0.4586039944286242,0.06567624578917397,0
113,0.65,0.24324324324324326,0.9,0.42324176321948087,0.0,0,1,0.11492467530649175,0,1,0,0,1,0.225,0.10655737704918032,0.28887412942604956,0.049079754601226995,0.31668764837512087,0.4081006713316964,0
114,0.742,0.13513513513513514,0.9,0.6156903785118493,0.3333333333333333,0,1,0.5064951702887626,0,1,0,1,0,0.45,0.3580327868852459,0.5402900516585786,0.055351056578050443,0.6272346206382983,0.26072633733351275,1
115,0.556,0.16216216216216217,0.9,0.5275101536245255,0.3333333333333333,1,1,0.3708231636121249,1,0,0,1,0,0.45,0.29704918032786887,0.43204820403131483,0.042672119972733465,0.5064025978951371,0.2853081411848008,0
116,0.636,0.25675675675675674,0.6,0.6690541167531406,0.0,1,0,0.578188767027251,1,0,0,1,0,0.15,0.10426229508196722,0.4443059801507867,0.09366053169734151,0.6952509020319312,0.25607025829803276,0
117,0.312,0.3108108108108108,0.1,0.0,0.3333333333333333,1,0,0.1587887643269932,1,0,1,0,0,0.05,0.21704918032786885,0.0,0.5779141104294478,0.07770623439588159,0.15563431020063176,0
118,0.348,0.17567567567567569,0.8,0.42973077236259555,0.0,1,0,0.9986644224523442,1,0,0,1,0,0.2,0.057049180327868855,0.3406100009955435,0.03742331288343558,0.7542276560259747,0.45086012701485545,1
119,0.698,0.21621621621621623,0.4,0.7380439205416032,0.3333333333333333,1,0,0.6041721984449514,0,1,0,1,0,0.2,0.3436065573770492,0.5333667343405654,0.17147239263803682,0.750460294968526,0.31553330977370136,0
120,0.956,0.21621621621621623,0.8,0.5158801328459695,0.3333333333333333,0,0,0.1906191541292193,0,1,1,0,0,0.4,0.4281967213114754,0.3728142649902384,0.08404907975460123,0.4108397594568433,0.44788928655108445,0
121,0.648,0.28378378378378377,0.6,0.47905275006278447,0.0,0,0,0.5006446615651794,0,1,0,0,1,0.15,0.1062295081967213,0.30181537940187886,0.09488752556237218,0.5402656230811844,0.0981809290391838,0
122,0.612,0.28378378378378377,0.6,0.0,0.3333333333333333,1,0,0.7053588617712991,1,0,1,0,0,0.3,0.31540983606557377,0.0,0.09120654396728016,0.3458432446331793,0.6921988573660316,0
123,0.668,0.40540540540540543,1.0,0.5037281072964724,0.0,1,1,0.9906835102752312,1,0,0,1,0,0.25,0.10950819672131147,0.2578562026035947,0.04098159509202455,0.795856857108359,0.3518869934877531,0
124,0.55,0.13513513513513514,0.3,0.0,0.0,0,0,0.9182618440061026,1,0,1,0,0,0.075,0.09016393442622951,0.0,0.21267893660531698,0.4502894435635218,0.9012044227768264,0
125,0.164,0.32432432432432434,0.9,0.6082288231050305,0.0,1,0,0.5513209511508349,0,1,1,0,0,0.225,0.026885245901639345,0.3558281821781291,0.015950920245398775,0.6446328063644663,0.20753116574574168,1
126,0.398,0.4594594594594595,0.1,0.0,0.0,0,1,0.04312646857774917,1,0,1,0,0,0.025,0.06524590163934427,0.0,0.6306748466257669,0.020964487409723828,0.04208933649462425,1
127,0.55,0.5135135135135135,0.0,0.5919026326585427,0.0,1,0,0.23408485510366236,0,1,0,1,0,0.0,0.09016393442622951,0.2597077322768152,0.7239263803680982,0.4789541664599896,0.49885187292937905,1
128,0.956,0.3108108108108108,0.7,0.0,0.3333333333333333,1,0,0.8569177856485294,1,0,1,0,0,0.35,0.4281967213114754,0.0,0.10219106047326906,0.420195202256261,0.8409833330248884,0
129,0.84,0.08108108108108109,0.9,0.4058503195460755,0.0,1,0,0.836303717004974,0,1,1,0,0,0.225,0.1377049180327869,0.4155059870900293,0.06203135650988412,0.65987841059474,0.32088380724307,0
130,0.816,0.21621621621621623,0.3,0.0,0.3333333333333333,1,1,0.6211322181268311,1,0,1,0,0,0.15,0.3822950819672131,0.0,0.26707566462167687,0.3045232373463715,0.609514072527504,0
131,0.89,0.20270270270270271,0.9,0.5215760311288141,0.0,1,1,0.5746730312744867,1,0,0,1,0,0.225,0.14590163934426228,0.3883526928200195,0.06543967280163598,0.6027551267073918,0.07788124129184992,0
